"isrc","song_name","song_duration_ms","is_explicit","spotify_url","apple_music_url"
"USA2P2357356","La Diabla","172264","False","https://open.spotify.com/track/0R6NfOiLzLj4O5VbYSJAjf",
"USUM72400048","yes, and?","214994","True","https://open.spotify.com/track/7gaA3wERFkFkgivjwbSvkG","https://music.apple.com/us/song/yes-and/1724584201"
"USRC12301932","greedy","131872","True","https://open.spotify.com/track/3rUGC1vUpkDG9CZFHMur1t","https://music.apple.com/us/song/greedy/1706381103"
"USJ5G2335007","My Love Mine All Mine","137773","False","https://open.spotify.com/track/3vkCueOmm7xQDoJ17W1Pm3",
"USAT22311371","Lovin On Me","138411","True","https://open.spotify.com/track/4xhsWYTOGcal8zt0J161CU","https://music.apple.com/us/song/lovin-on-me/1715277428"
"USUG12303881","One Of The Girls (with JENNIE, Lily Rose Depp)","244684","False","https://open.spotify.com/track/7CyPwkp0oE8Ro9Dd5CUDjW",
"USUG11901472","Cruel Summer","178426","False","https://open.spotify.com/track/1BxfuPKGuaTgP7aM0Bbdwr","https://music.apple.com/us/song/cruel-summer/1468058171"
"USA2P2339944","La Víctima","156345","True","https://open.spotify.com/track/5XVdHRf4CAJ2Jm0uMIy5qY",
"USUM72212470","Stick Season","182346","False","https://open.spotify.com/track/0mflMxspEfB0VbI1kyLiAv","https://music.apple.com/us/song/stick-season/1632285403"
"USUM72315072","Igual Que Un Ángel (with Peso Pluma)","260370","False","https://open.spotify.com/track/6XaJfhwof7qIgbbXO5tIQI","https://music.apple.com/us/song/igual-que-un-%C3%A1ngel/1710860382"
"USSM12309164","redrum","270697","True","https://open.spotify.com/track/52eIcoLUM25zbQupAZYoFh","https://music.apple.com/us/song/redrum/1724494724"
"USSM12309168","née-nah","220584","True","https://open.spotify.com/track/6TdFkofgTvN0WfnWFmh4a6","https://music.apple.com/us/song/n%C3%A9e-nah/1724494870"
"USUG12306085","Rich Baby Daddy (feat. Sexyy Red & SZA)","319191","True","https://open.spotify.com/track/2DSy4HfDQoBsPPcRSoeM16","https://music.apple.com/us/song/rich-baby-daddy-feat-sexyy-red-sza/1710685898"
"USRC12204591","Snooze","201800","True","https://open.spotify.com/track/24yrJJkmVUMkJHvCaR85BN","https://music.apple.com/us/song/snooze/1657869492"
"USUM72318216","LUNA","196800","False","https://open.spotify.com/track/7bywjHOc0wSjGGbj04XbVi",
"USWB12307016","Beautiful Things","180304","False","https://open.spotify.com/track/6tNQ70jh4OwmPGpYy6R2o9","https://music.apple.com/us/song/beautiful-things/1724488124"
"USAT22400675","HISS","192818","True","https://open.spotify.com/track/79AHPJd8upvNxyK2qQcY8J","https://music.apple.com/us/song/hiss/1727623658"
"USUG12307428","Made For Me","188000","False","https://open.spotify.com/track/0WIv5qV41y6YjjB9V1biuC","https://music.apple.com/us/song/made-for-me/1707416065"
"TCACR1657450","Spin You Around","212850","False","https://open.spotify.com/track/1yj1ZztSGITJ5Nf4mfH92c","https://music.apple.com/us/song/spin-you-around/1151912195"
"JPU902305042","Bling-Bang-Bang-Born","168135","False","https://open.spotify.com/track/0kdqcbwei4MDWFEX5f33yG","https://music.apple.com/us/song/bling-bang-bang-born/1720332181"
"USUM72400872","Big Foot","262268","True","https://open.spotify.com/track/587Ks4sb6Wd2qRVS5i9fdW","https://music.apple.com/us/song/big-foot/1727963554"
"CH7811111177","Praise Jah In The Moonlight","263040","True","https://open.spotify.com/track/3h5TiWTqGxjSjFrbruPFH9","https://music.apple.com/us/song/praise-jah-in-the-moonlight/1723309988"
"USWB12304903","I Remember Everything","227195","False","https://open.spotify.com/track/5raCcuL1D41UYSyOGYELm5","https://music.apple.com/us/song/i-remember-everything-feat-kacey-musgraves/1703217516"
"USPR39402268","Should've Been A Cowboy","208413","False","https://open.spotify.com/track/18BajNiyvH6GpYshB0unrm","https://music.apple.com/us/song/shouldve-been-a-cowboy/1436536526"
"USSM12209777","Flowers","200600","False","https://open.spotify.com/track/7DSAEUvxU8FajXtRloy8M0","https://music.apple.com/us/song/flowers/1702906535"
"USQX92400087","Get In With Me","120792","True","https://open.spotify.com/track/4iEoDBAgMJIzest7VsDgmT","https://music.apple.com/us/song/get-in-with-me/1725032987"
"QZ7XS2400012","CARNIVAL","264324","True","https://open.spotify.com/track/4m4BHvDfzIgj5LbQLuFiIp",
"QZ7XS2400010","FUK SUMN","209577","True","https://open.spotify.com/track/5rlXuCLnMdfo85079qXHoz",
"QZ7XS2400001","STARS","115238","True","https://open.spotify.com/track/6OON4kMjTFqARMFrRbmlwy",
"QZ7XS2400005","BACK TO ME","295471","True","https://open.spotify.com/track/0Tgm7wkLb0AfAHAZDschvD",
"QZ7XS2400009","BURN","111458","True","https://open.spotify.com/track/4E3XDKil4ElJt6sXuz5cc6",
